Numero di iscrizione;Nome organizzazione;Stato nel processo;Indirizzo;Comune;Provincia;Latitudine;Longitudine;Scheda tecnica
1;Comune di Trento,  Servizio Biblioteca e Archivio Storico;Certificato finale;Via Roma, 55;Trento;Trento;46.069.656;11.120.862;http://www.familyaudit.org/sites/default/files/Comune%20di%20Trento.pdf
2;Autostrada del Brennero S.p.A. ;Certificato finale;Via Berlino, 10;Trento;Trento;46.077.524;11.109.404;
3;Cassa Rurale di Aldeno e Cadine B.C.C. S.C. ;Certificato finale;Via Roma, 1;Aldeno;Trento;45.977.647;11.091.195;http://www.familyaudit.org/sites/default/files/Cassa%20rurale%20aldeno%20e%20cadine.pdf
4;ITEA S.p.A., Istituto Trentino per l’Edilizia Abitativa;Certificato finale;via R. Guardini, 22;Trento;Trento;46.092.369;11.118.838;http://www.familyaudit.org/sites/default/files/itea.pdf
5;S.A.D. Società Cooperativa Sociale ;Certificato finale;Via Gramsci, 21;Trento;Trento;46.053.368;11.125.380;http://www.familyaudit.org/sites/default/files/SAD.pdf
6;GPI S.p.A. - HIT S.r.l.;Certificato finale;Via Ragazzi del 99, 13;Trento;Trento;46.037.237;11.126.172;http://www.familyaudit.org/sites/default/files/GPI.pdf
7;Comunità della Val di Non ;Certificato finale;Via Pilati, 17;Cles;Trento;46.364.541;11.033.204;http://www.familyaudit.org/sites/default/files/Comunit%C3%A0%20val%20di%20non.pdf
8;Progetto 92 Società Cooperativa Sociale ;Certificato finale;Via Solteri, 76;Trento;Trento;46.082.658;11.122.459;http://www.familyaudit.org/sites/default/files/Progetto%2092.pdf
9;CEii Trentino, Centro Europeo di Impresa e di Innovazione ;Certificato finale;Via del Commercio, 30;Trento;Trento;46.091.726;11.105.057;http://www.familyaudit.org/sites/default/files/CEii.pdf
10;Kaleidoscopio Società Cooperativa Sociale ;Certificato finale;via don Dallafior, 2/b;Trento - Povo;Trento;46.065.649;11.154.300;http://www.familyaudit.org/sites/default/files/kaleidoscopio.pdf
11;Fondazione Bruno Kessler ;Certificato finale;via Sommarive, 18;Trento - Povo;Trento;46.067.019;11.150.514;http://www.familyaudit.org/sites/default/files/fbk.pdf
12;Istituto Comprensivo di Scuola Primaria e Secondaria di Mezzolombardo;Certificato finale;Via Fabio Filzi, 4;Mezzolombardo;Trento;46.215.838;11.092.661;http://www.familyaudit.org/sites/default/files/IC%20Mezzolombardo.pdf
13;Provincia Autonoma di Trento;Certificato finale;piazza Fiera, 3;Trento;Trento;46.064.941;11.124.584;http://www.familyaudit.org/sites/default/files/PAT.pdf
14;Associazione Artigiani e Piccole Imprese della Provincia di Trento –  Trentino CAF Imprese S.r.l. - SAPI S.r.l. ;Certificato finale;Via Brennero, 182;Trento;Trento;46.081.878;11.121.006;
15;Federazione Trentina della Cooperazione Società Cooperativa ;Certificato finale;Via Segantini, 10;Trento;Trento;46.074.997;11.122.081;http://www.familyaudit.org/sites/default/files/Federazione%20cooperative.pdf
17;La Casa Società Cooperativa Sociale;Certificato base;Viale Trento, 49/b;Rovereto;Trento;45.904.813;11.040.680;http://www.familyaudit.org/sites/default/files/la%20casa.pdf
18;Tesan S.p.A.;Certificato base;Via L.L. Zamenhof, 200;Vicenza ;Vicenza;45.528.751;11.587.806;http://www.familyaudit.org/sites/default/files/tesan.pdf
19;Alisei Società Cooperativa Sociale;Certificato base;Viale Trento;Rovereto;Trento;45.905.799;11.040.487;http://www.familyaudit.org/sites/default/files/Alisei.pdf
20;Tagesmutter del Trentino - Il Sorriso;Certificato base;via Zambra, 11;Trento;Trento;46.091.686;11.116.920;http://www.familyaudit.org/sites/default/files/Tagesmutter-il%20Sorriso.pdf
21;Trentino School of Management;Certificato base;Via Giuseppe Giusti, 40;Trento;Trento;46.059.692;11.119.066;http://www.familyaudit.org/sites/default/files/TSM.pdf
22;Antropos Società Cooperativa Sociale (Multiservizi Società Cooperativa);Certificato base;Via Rotaliana, 69;Mezzocorona;Trento;46.211.225;11.115.646;http://www.familyaudit.org/sites/default/files/Antropos.pdf
23;La Coccinella Società cooperativa sociale onlus;Certificato base;Corso Dante, 13;Cles;Trento;46.361.826;11.034.329;http://www.familyaudit.org/sites/default/files/La%20Coccinella.pdf
24;L'Ancora - Cooperativa di Solidarietà Sociale Onlus;Certificato base;via Roma, 9;Tione;Trento;46.033.422;10.725.894;http://www.familyaudit.org/sites/default/files/L%27Ancora.pdf
25;Informatica Trentina;Certificato base;Via G. Gilli, 2;Trento;Trento;46.091.085;11.120.361;http://www.familyaudit.org/sites/default/files/Informatica%20Trentina.pdf
26;Riva del Garda Fierecongressi S.p.A.;Certificato base;Località Parco Lido;Riva del Garda;Trento;45.884.392;10.844.697;http://www.familyaudit.org/sites/default/files/Riva%20del%20Garda%20Fierecongressi.pdf
27;Comune di Rovereto - servizio personale e istruzione e servizio attività sociali;Certificato base;piazza del Podestà , 11;Rovereto;Trento;45.886.390;11.045.669;http://www.familyaudit.org/sites/default/files/Comune%20di%20Rovereto.pdf
28;Cassa Rurale di Fiemme;Certificato base;Via Garibaldi, 10;Predazzo;Trento;46.310.806;11.601.330;http://www.familyaudit.org/sites/default/files/Cassa%20rurale%20di%20Fiemme.pdf
29;Fiemme Servizi SpA;Certificato base;via Dossi, 25;Cavalese;Trento;46.289.106;11.454.834;http://www.familyaudit.org/sites/default/files/Fiemme%20Servizi.pdf
30;Trentino Network Srl;Certificato base;via Gilli, 2;Trento;Trento;46.091.031;11.119.924;
31;Azienda Pubblica di Servizi alla Persona Margherita Grazioli;Certificato base;via della Resistenza, 63;Trento - Povo;Trento;46.067.604;11.161.315;http://www.familyaudit.org/sites/default/files/APSP%20Margherita%20Grazioli.pdf
32;S. T. Gestioni società cooperativa sociale;Certificato base;via del Commercio, 78 ;Trento;Trento;46.092.690;11.103.927;http://www.familyaudit.org/sites/default/files/ST%20Gestioni.pdf
33;Città Futura Società Cooperativa Sociale;Certificato base;Via Gian Domenico Romagnosi, 26;Trento;Trento;46.072.819;11.122.793;http://www.familyaudit.org/sites/default/files/Citta%20Futura.pdf
34;Plus Communications - Ginevra Communications srl;Certificato base;via Brennero, 248;Trento;Trento;46.084.732;11.119.407;http://www.familyaudit.org/sites/default/files/Plus%20Communications.pdf
35;Comune di Cles;Certificato base;Corso Dante, 28;Cles;Trento;46.362.401;11.034.360;http://www.familyaudit.org/sites/default/files/Comune%20di%20Cles.pdf
36;AM.IC.A. Società Cooperativa Sociale;Certificato base;Piazza Petrini, 3;Pergine Valsugana;Trento;46.077.910;11.277.784;http://www.familyaudit.org/sites/default/files/Amica.pdf
37;ActionAid;Certificato base;via Broggi 19/A;Milano;Milano;45.477.118;9.212.406;http://www.familyaudit.org/sites/default/files/ACTIONAID.pdf
38;Comune di Marnate;Certificato base;Via Guglielmo Marconi, 14;Marnate;Varese;45.628.983;8.901.242;http://www.familyaudit.org/sites/default/files/Comune%20Marnate.pdf
39;Cooperativa sociale Comunità Betania;Certificato base;Via Sacchetti, 12;Vigevano;Pavia;45.314.120;8.849.260;http://www.familyaudit.org/sites/default/files/Comunita%20Betania.pdf
40;IL PORTICO Associazione di Promozione Sociale ONLUS;Certificato base;Via Brentabassa, 49;Dolo;Venezia;45.425.850;12.086.690;http://www.familyaudit.org/sites/default/files/IL%20PORTICO.pdf
41;Comunità delle Giudicarie;Certificato base;Via P. Gnesotti, 2;Tione;Trento;46.031.590;10.723.080;http://www.familyaudit.org/sites/default/files/Comunit%C3%A0%20delle%20Giudicarie.pdf
42;Viba SpA;Certificato base;Lungotevere della Vittoria, 9;Roma;Roma;41.921.687;12.464.779;http://www.familyaudit.org/sites/default/files/VIBA.pdf
43;Gruppo Cooperativo CGM;Certificato base;VIA MARCO AURELIO, 8;Milano;Milano;45.491.059;9.221.247;http://www.familyaudit.org/sites/default/files/CGM.pdf
44;GRUPPO 78 s.c.s.;Certificato base;via Roma 29/c;Volano;Trento;45.916.801;11.066.493;http://www.familyaudit.org/sites/default/files/GRUPPO%2078.pdf
